,TSLA
707,229.53
708,229.5058
709,229.3998
710,229.48
711,229.5251
712,229.4
713,229.51
714,229.52
715,229.46
716,229.35
717,229.44
718,229.4404
719,229.3001
720,229.31
721,229.38
722,229.4797
723,229.46
724,229.38
725,229.47
726,229.7151
727,229.4515
728,229.5108
729,229.599
730,229.43
731,229.35
732,229.36
733,229.48
734,229.27
735,229.37
736,229.53
737,229.39
738,229.3
739,229.36
740,229.31
741,228.9
742,228.85
743,228.8745
744,229.0942
745,229.17
746,228.98
747,229.27
748,229.2
749,229.21
750,229.398
751,229.28
752,229.3025
753,229.13
754,229.111
755,229.22
756,229.18
757,229.3
758,229.35
759,229.4
760,229.3634
761,229.3697
762,229.24
763,229.115
764,229.3509
765,229.12
766,228.94
767,228.5021
768,228.25
769,228.2955
770,228.4
771,228.77
772,228.56
773,228.6
774,228.52
775,228.47
776,228.51
777,228.43
778,228.42
779,228.5301
780,228.49
781,227.17
782,226.69
783,227.6649
784,227.9
785,227.38
786,227.0001
787,227.05
788,226.815
789,227.4764
790,227.0001
791,226.8575
792,226.855
793,227.111
794,227.2636
795,227.11
796,227.47
797,227.9999
798,228.005
799,228.0
800,228.7848
801,228.78
802,229.21
803,229.6035
804,229.5
805,229.345
806,228.96
807,228.39
808,228.3
809,228.2285
810,227.64
811,227.92
812,228.04
813,227.96
814,227.97
815,227.27
816,227.03
817,227.189
818,227.23
819,228.03
820,227.76
821,227.9886
822,227.98
823,228.115
824,227.76
825,227.41
826,227.4
827,227.48
828,227.5
829,227.4405
830,227.41
831,227.363
832,227.55
833,227.52
834,227.65
835,227.59
836,227.6975
837,227.695
838,228.1
839,228.35
840,228.51
841,228.5079
842,228.57
843,228.461
844,228.53
845,228.77
846,228.45
847,228.47
848,228.42
849,228.34
850,228.03
851,228.07
852,228.049
853,227.9334
854,228.02
855,228.01
856,227.93
857,227.97
858,228.1828
859,228.19
860,228.0575
861,228.12
862,227.965
863,228.01
864,228.0062
865,228.08
866,228.11
867,227.9
868,228.05
869,228.08
870,227.98
871,227.95
872,228.1251
873,228.1
874,227.94
875,228.06
876,227.96
877,227.93
878,228.0
879,227.96
880,227.93
881,227.96
882,227.98
883,227.97
884,228.03
885,227.96400000000003
886,228.068
887,228.155
888,228.235
889,228.16
890,228.15
891,228.17
892,228.17
893,228.28
894,228.16
895,228.31
896,228.2
897,228.33
898,228.3
899,228.3937
900,228.31
901,228.27
902,228.15
903,228.18
904,228.11
905,228.1
906,228.2197
907,228.32
908,228.39
909,228.45
910,228.4915
911,228.5
912,228.59
913,228.75
914,228.8
915,228.7349
916,228.75
917,228.7
918,228.918
919,228.82
920,228.821
921,228.6184
922,228.6625
923,228.66
924,228.72
925,228.5822
926,228.4
927,228.3
928,228.232
929,228.27
930,228.33
931,228.25
932,228.31
933,228.39
934,228.3929
935,228.48
936,228.4841
937,228.41
938,228.5
939,228.54
940,228.58
941,228.491
942,228.58
943,228.618
944,228.66
945,228.511
946,228.52
947,228.52
948,228.59
949,228.59
950,228.6
951,228.54
952,228.56
953,228.61
954,228.495
955,228.5
956,228.4697
957,228.46
958,228.71
959,228.71
960,228.6655
961,228.65
962,228.65
963,228.69
964,228.66
965,228.62
966,228.6225
967,228.65
968,228.64
969,228.63
970,228.7162
971,228.71
972,228.75
973,228.71
974,228.69
975,228.8
976,228.77
977,228.91
978,228.914
979,228.93
980,229.19
981,229.1975
982,229.02
983,229.05
984,228.91
985,228.74
986,228.82
987,228.76
988,228.6
989,228.54
990,228.34
991,228.41
992,228.37
993,228.35
994,228.56
995,228.719
996,228.6329
997,228.57
998,228.745
999,228.82
1000,228.8571
1001,229.24
1002,229.39
1003,229.46
1004,229.41
1005,229.37
1006,229.22
1007,229.15
1008,229.16
1009,229.27
1010,229.49
1011,229.4343
1012,229.43
1013,229.27
1014,229.41
1015,229.28
1016,229.26
1017,229.39
1018,229.32
1019,229.38
1020,229.59
1021,229.6
1022,229.64
1023,229.62
1024,229.75
1025,229.7
1026,229.74
1027,229.675
1028,229.5
1029,229.2987
1030,229.3
1031,229.3433
1032,229.2878
1033,229.37
1034,229.24
1035,229.2525
1036,229.36
1037,229.29
1038,229.59
1039,229.6
1040,229.71
1041,229.71
1042,229.7
1043,229.75
1044,229.6
1045,229.6038
1046,229.76
1047,229.53
1048,229.56
1049,229.59
1050,229.8
1051,229.96
1052,229.96
1053,229.96
1054,229.9
1055,229.96
1056,230.205
1057,230.06
1058,230.16
1059,230.0
1060,230.03
1061,229.92
1062,229.98
1063,229.975
1064,229.9225
1065,229.91
1066,229.93
1067,229.93
1068,230.0916
1069,230.2
1070,229.965
1071,229.965
1072,230.01
1073,230.01
1074,230.0
1075,230.04
1076,229.975
1077,230.06
1078,230.0525
1079,230.0
1080,230.1367
1081,230.2
1082,230.16
1083,230.24
1084,230.2
1085,230.19
1086,230.193
1087,230.075
1088,230.125
1089,230.15
1090,230.12
1091,230.1172
1092,230.2
1093,230.2
1094,230.24
1095,230.2
1096,230.175
1097,230.1837
1098,230.2
1099,230.14
1100,230.18
1101,230.1941
1102,230.2161
1103,230.297
1104,230.07
1105,230.1
1106,230.11
1107,230.09
1108,230.13
1109,230.08
1110,230.03
1111,230.095
1112,230.07
1113,230.12
1114,230.22
1115,230.09
1116,230.08
1117,230.129
1118,230.12
1119,230.1
1120,230.16
1121,230.1575
1122,230.09
1123,230.21
1124,230.23
1125,230.26
1126,230.2453
1127,230.24
1128,230.29
1129,230.35
1130,230.31
1131,230.51
1132,230.41
1133,230.534
1134,230.58
1135,230.6
1136,230.6288
1137,230.545
1138,230.57
1139,230.67
1140,230.575
1141,230.52
1142,230.64
1143,230.6242
1144,230.605
1145,230.595
1146,230.44
1147,230.425
1148,230.3105
1149,230.41
1150,230.46
1151,230.42
1152,230.35
1153,230.38
1154,230.22
1155,230.355
1156,230.46
1157,230.36
1158,230.47
1159,230.435
1160,230.56
1161,230.5
1162,230.43
1163,230.4125
1164,230.42
1165,230.34
1166,230.59
1167,230.56
1168,230.48
1169,230.41
1170,230.61
1171,231.08
1172,230.8988
1173,230.51
1174,230.36
1175,230.68
1176,231.469
1177,231.07
1178,231.629
1179,231.74
1180,232.18
1181,232.61
1182,232.45
1183,232.22
1184,231.75
1185,231.9
1186,232.14
1187,232.06
1188,231.6862
1189,231.01
1190,230.77
1191,230.82
1192,231.36
1193,231.6975
1194,231.83
1195,231.51
1196,231.84
1197,231.835
1198,231.9
1199,232.34
1200,232.34
1201,232.42
1202,232.47
1203,232.2899
1204,231.835
1205,231.58
1206,231.33
1207,231.855
1208,231.97
1209,232.215
1210,232.21
1211,232.6
1212,232.3
1213,232.5358
1214,232.9125
1215,233.1
1216,232.9
1217,232.62
1218,232.9
1219,232.93
1220,233.27
1221,233.43400000000003
1222,233.28
1223,232.888
1224,232.6
1225,232.67
1226,232.73
1227,232.67
1228,232.87
1229,232.94
1230,232.84
1231,232.61
1232,232.66
1233,232.6001
1234,232.72
1235,232.75
1236,232.865
1237,232.97
1238,232.97
1239,233.2
1240,233.26
1241,233.06
1242,233.1001
1243,233.02
1244,233.041
1245,233.28
1246,233.62
1247,233.52
1248,233.6
1249,233.98
1250,233.965
1251,234.16
1252,234.01
1253,233.8301
1254,233.975
1255,234.03
1256,234.1083
1257,234.1202
1258,234.37
1259,234.425
1260,234.385
1261,234.29
1262,234.46
1263,234.42
1264,234.41
1265,234.41
1266,234.4874
1267,234.61
1268,234.2
1269,234.296
1270,234.2961
1271,234.29
1272,234.3
1273,234.4
1274,234.37
1275,234.4173
1276,234.35
1277,234.25
1278,234.26
1279,234.5
1280,234.496
1281,234.65
1282,234.5194
1283,234.68
1284,234.87
1285,234.95
1286,234.876
1287,234.685
1288,234.68
1289,234.6422
1290,234.53
1291,234.7
1292,234.8925
1293,234.84
1294,234.6802
1295,234.82
1296,234.81
1297,234.81
1298,234.94
1299,234.96
1300,234.96
1301,234.98
1302,234.84
1303,234.91
1304,234.91
1305,234.95
1306,234.77
1307,234.76
1308,234.82
1309,234.83
1310,234.59
1311,234.22
1312,234.445
1313,234.33
1314,234.3319
1315,234.4
1316,234.21
1317,234.2
1318,234.0328
1319,233.86
